date_time,What is your age in years?,What study cycle are you in?,How many semesters have you been at ETH Zurich? (including current semester),How conscious are you of food waste?,Do the following motivate you to care about food waste? [Sustainability/ environmental impact],How many days a week (Mon-Fri) are you typically present at university during lunch time?,How many days a week (Mon-Fri) do you typically eat lunch at a university cafeteria?,How many days a week (Mon-Fri) do you typically bring your own lunch to university?,"How many days a week (Mon-Fri) do you typically buy lunch externally? (e.g. restaurant, snack from supermarket)",Approximately how much of your lunch do you throw away on an average weekday in university if...  [eating in the cafeteria?],"When you have lunch in university cafeterias, do you generally ask for... [a small portion if you're not sure you could finish a normal portion?]","When you have lunch in university cafeterias, do you generally ask for a large portion if you don't think a normal portion would be enough?",Approximately how much of your lunch do you throw away on an average weekday in university,Approximately how much of your lunch do you throw away on an average weekday in university buying lunch externally?,"If you were having a weekday lunch in university with a friend and couldn't finish your own portion, which of the following would you do first?","If you were having a weekday lunch in university alone and couldn't finish your own portion, which of the following would you do first?","When choosing your weekday lunch, do you generally avoid choosing food that contains ingredients you expect not to be eaten?",What other strategies do you use to reduce food waste during weekday lunches in university?,How many days a week (Mon-Fri)... [are you typically present at university during lunch time?],How many days a week (Mon-Fri)... [do you typically eat lunch at a university cafeteria?],How many days a week (Mon-Fri)... [do you typically bring your own lunch to university?],"How many days a week (Mon-Fri)... [do you typically buy lunch externally? (e.g. restaurant, snack from supermarket)]",Approximately how much of your lunch do you throw away on an average weekday in university if...  [bringing your own lunch?],Approximately how much of your lunch do you throw away on an average weekday in university if...  [buying lunch externally?],"When you have lunch in university cafeterias, do you generally ask for",Does anything else motivate you to care about food waste?,What would encourage you most to avoid waste in the previous scenarios?,Do the following motivate you to care about food waste? [Monetary cost],Do the following motivate you to care about food waste? [Humanitarian concerns],Do the following motivate you to care about food waste? [Cultural],Do the following motivate you to care about food waste? [Cultural aspects],"When you have lunch in university cafeterias, do you generally ask for... [a large portion if you don't think a normal portion would be enough?]","When you have lunch in university cafeterias, do you generally ask for... [a second portion if a normal portion wasn't enough?]"
2025-05-19T14:20:02Z,22,Bachelor's,6,4,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,1,1,0,0,1 (Near none),1 (Near none),NA,NA,Having your own tupperware with you,Yes,Yes,NA,No,Yes,No
2025-05-19T14:47:54Z,21,Master's,4,5,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,NA,3,0,0,0,1 (Near none),1 (Near none),NA,NA,None of those,Yes,No,NA,No,No,No
2025-05-19T18:06:41Z,26,PhD,1,2,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,NA,5,2,2,0,1 (Near none),1 (Near none),NA,NA,Having access to free single-use packaging,Yes,No,NA,No,No,No
2025-05-19T22:08:31Z,22,Bachelor's,6,3,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,NA,1,1,1,5,1 (Near none),1 (Near none),NA,NA,None of those,No,Yes,NA,No,No,No
